Sequence Name	Sequence Description	Annotation GO ID	Annotation GO Term	Annotation GO Category	InterPro Accession	InterPro Name	atg_description
MA_436039g0010	pectinesterase-like	GO:0004857|GO:0005618|GO:0005982|GO:0005985|GO:0030599|GO:0042545	enzyme inhibitor activity|cell wall|starch metabolic process|sucrose metabolic process|pectinesterase activity|cell wall modification	Molecular Function|Cellular Component|Biological Process|Biological Process|Molecular Function|Biological Process	IPR006501|IPR012334|IPR000070|IPR006501|IPR006501|IPR035513|noIPR|noIPR|IPR033131|noIPR|noIPR|noIPR|noIPR|IPR011050|IPR035513|noIPR	Pectinesterase inhibitor domain|Pectin lyase fold|Pectinesterase, catalytic|Pectinesterase inhibitor domain|Pectinesterase inhibitor domain|Invertase/pectin methylesterase inhibitor domain superfamily|Invertase/pectin methylesterase inhibitor domain superfamily|Invertase/pectin methylesterase inhibitor domain superfamily|Pectinesterase, Asp active site|Pectinesterase, Asp active site|Pectinesterase, Asp active site|Pectinesterase, Asp active site|Pectinesterase, Asp active site|Pectin lyase fold/virulence factor|Invertase/pectin methylesterase inhibitor domain superfamily|Invertase/pectin methylesterase inhibitor domain superfamily	AT1G53830-pectin methylesterase 2
MA_43615g0010	pentatricopeptide repeat-containing chloroplastic	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR002885|noIPR|IPR002885|IPR011990|IPR011990|IPR011990|IPR011990|IPR002885|IPR032867|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990|IPR011990	Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily	AT1G11290-Pentatricopeptide repeat (PPR) superfamily protein
MA_458849g0010	peroxidase	GO:0004601|GO:0006804|GO:0006979|GO:0020037|GO:0055114	peroxidase activity|obsolete peroxidase reaction|response to oxidative stress|heme binding|oxidation-reduction process	Molecular Function|Biological Process|Biological Process|Molecular Function|Biological Process	IPR002016|IPR000823|noIPR|IPR002016|noIPR|noIPR|IPR019793|IPR002016|IPR010255	Haem peroxidase, plant/fungal/bacterial|Plant peroxidase|Plant peroxidase|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Peroxidases heam-ligand binding site|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase	NA
MA_47845g0010	kDa proline-rich -like	NA	NA	NA	IPR016140|noIPR|IPR027923|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR027923|noIPR|noIPR|IPR036312|noIPR	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain|Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Hydrophobic seed protein|Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain superfamily|Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain superfamily	AT1G62500-Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
MA_56714g0010	pentatricopeptide repeat-containing chloroplastic	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR002885|IPR002885|IPR011990|IPR011990|IPR032867|IPR002885|IPR011990|IPR011990|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885	Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|DYW domain|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat	AT3G57430-Tetratricopeptide repeat (TPR)-like superfamily protein
MA_59148g0010	pentatricopeptide repeat-containing mitochondrial-like	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR002885|IPR011990|IPR011990|noIPR|IPR032867|IPR002885|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990	Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|DYW domain|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily	AT1G11290-Pentatricopeptide repeat (PPR) superfamily protein
MA_61422g0020	pentatricopeptide repeat-containing mitochondrial-like	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR011990|IPR002885|noIPR|IPR032867|IPR002885|IPR011990|IPR002885|IPR011990|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990	Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|DYW domain|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily	AT4G13650-Pentatricopeptide repeat (PPR) superfamily protein
MA_64994g0010	Lysosomal alpha-mannosidase	GO:0004559|GO:0006013|GO:0030246	alpha-mannosidase activity|mannose metabolic process|carbohydrate binding	Molecular Function|Biological Process|Molecular Function	noIPR|IPR011682|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR011013	null|Glycosyl hydrolase family 38, C-terminal|Glycosyl hydrolase family 38, C-terminal|Glycosyl hydrolase family 38, C-terminal|Glycosyl hydrolase family 38, C-terminal|Glycosyl hydrolase family 38, C-terminal|Glycosyl hydrolase family 38, C-terminal|Glycosyl hydrolase family 38, C-terminal|Glycosyl hydrolase family 38, C-terminal|Glycosyl hydrolase family 38, C-terminal|Glycosyl hydrolase family 38, C-terminal|Galactose mutarotase-like domain superfamily	AT5G66150-Glycosyl hydrolase family 38 protein
MA_6802614g0010	fatty acyl- reductase 2	GO:0080019	fatty-acyl-CoA reductase (alcohol-forming) activity	Molecular Function	IPR013120|noIPR|IPR026055|noIPR|IPR036291	Male sterility, NAD-binding|Male sterility, NAD-binding|Fatty acyl-CoA reductase|Fatty acyl-CoA reductase|NAD(P)-binding domain superfamily	AT3G11980-Jojoba acyl CoA reductase-related male sterility protein
MA_68084g0010	pentatricopeptide repeat-containing chloroplastic	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR002885|IPR002885|IPR011990|IPR011990|IPR032867|IPR002885|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885	Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|DYW domain|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat	AT1G11290-Pentatricopeptide repeat (PPR) superfamily protein
MA_7041743g0010	clavaminate synthase At3g21360	NA	NA	NA	noIPR|noIPR	null|null	NA
MA_7379g0020	pentatricopeptide repeat-containing At4g37170	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR002885|IPR002885|IPR002885|noIPR|IPR011990|IPR032867|IPR011990|IPR011990|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990	Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|DYW domain|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily	AT1G68930-pentatricopeptide (PPR) repeat-containing protein
MA_7459g0010	two-component response regulator ORR21-like isoform X1	GO:0005515	protein binding	Molecular Function	noIPR|IPR015943|noIPR|noIPR|noIPR|noIPR|noIPR	null|WD40/YVTN repeat-like-containing domain superfamily|WD40/YVTN repeat-like-containing domain superfamily|WD40/YVTN repeat-like-containing domain superfamily|WD40/YVTN repeat-like-containing domain superfamily|WD40/YVTN repeat-like-containing domain superfamily|WD40/YVTN repeat-like-containing domain superfamily	AT4G16110-response regulator 2
MA_79492g0010	auxin-induced 6B-like	GO:0009733	response to auxin	Biological Process	IPR003676|noIPR|noIPR|noIPR|noIPR	Small auxin-up RNA|Small auxin-up RNA|Small auxin-up RNA|Small auxin-up RNA|Small auxin-up RNA	AT1G75590-SAUR-like auxin-responsive protein family
MA_805816g0010	alpha-mannosidase At3g26720	GO:0004559|GO:0006013	alpha-mannosidase activity|mannose metabolic process	Molecular Function|Biological Process	IPR015341|IPR037094|noIPR|noIPR|IPR028995	Glycoside hydrolase family 38, central domain|Glycoside hydrolase family 38, central domain superfamily|Glycoside hydrolase family 38, central domain superfamily|Glycoside hydrolase family 38, central domain superfamily|Glycoside hydrolase families 57/38, central domain superfamily	AT5G66150-Glycosyl hydrolase family 38 protein
MA_82595g0010	pentatricopeptide repeat-containing chloroplastic	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR002885|IPR011990|IPR032867|IPR011990|IPR002885|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990	Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|DYW domain|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily	AT3G23330-Tetratricopeptide repeat (TPR)-like superfamily protein
MA_8403012g0010	phospholipase D alpha 1-like	GO:0016787	hydrolase activity	Molecular Function	IPR024632|noIPR|IPR015679	Phospholipase D, C-terminal|Phospholipase D, C-terminal|Phospholipase D family	AT3G15730-phospholipase D alpha 1
MA_8589938g0010	probable beta-D-xylosidase 7	GO:0004553|GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds|carbohydrate metabolic process	Molecular Function|Biological Process	IPR036962|IPR036962|noIPR|noIPR|IPR017853	Glycoside hydrolase, family 3, N-terminal domain superfamily|Glycoside hydrolase, family 3, N-terminal domain superfamily|Glycoside hydrolase, family 3, N-terminal domain superfamily|Glycoside hydrolase, family 3, N-terminal domain superfamily|Glycoside hydrolase superfamily	AT1G78060-Glycosyl hydrolase family protein
MA_85974g0010	thioredoxin-like fold domain-containing chloroplastic	GO:0005623|GO:0045454	cell|cell redox homeostasis	Cellular Component|Biological Process	noIPR|noIPR|noIPR|noIPR	null|null|null|null	AT4G28590-polyadenylate-binding protein 2-binding protein
MA_8631g0010	DNA RNA-binding KIN17-like	GO:0003690|GO:0005634|GO:0006260|GO:0006974	double-stranded DNA binding|nucleus|DNA replication|cellular response to DNA damage stimulus	Molecular Function|Cellular Component|Biological Process|Biological Process	noIPR|noIPR|IPR019447|IPR019447|noIPR|noIPR|noIPR|IPR036236	null|null|DNA/RNA-binding protein Kin17, conserved domain|DNA/RNA-binding protein Kin17, conserved domain|DNA/RNA-binding protein Kin17, conserved domain|DNA/RNA-binding protein Kin17, conserved domain|DNA/RNA-binding protein Kin17, conserved domain|Zinc finger C2H2 superfamily	AT1G55460-DNA/RNA-binding protein Kin17, conserved region
MA_8678g0010	pentatricopeptide repeat-containing chloroplastic	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR002885|IPR002885|IPR011990|IPR032867|IPR002885|IPR011990|noIPR|IPR011990|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990	Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|DYW domain|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily	AT3G49170-Tetratricopeptide repeat (TPR)-like superfamily protein
MA_8732g0010	uncharacterized protein LOC18440396	NA	NA	NA	noIPR|IPR012881|noIPR|noIPR|noIPR	null|Protein of unknown function DUF1685|Protein of unknown function DUF1685|Protein of unknown function DUF1685|Protein of unknown function DUF1685	AT2G42760-DUF1685 family protein
MA_87646g0010	pentatricopeptide repeat-containing At3g02330	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR011990|IPR011990|IPR032867|noIPR|IPR002885|IPR011990|IPR002885|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990	Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|DYW domain|DYW domain|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily	AT3G02330-Pentatricopeptide repeat (PPR) superfamily protein
MA_879613g0010	alpha-mannosidase At3g26720-like isoform X1	GO:0004559|GO:0006013	alpha-mannosidase activity|mannose metabolic process	Molecular Function|Biological Process	IPR027291|IPR000602|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR011330	Glycoside hydrolase 38/57, N-terminal|Glycoside hydrolase family 38, N-terminal domain|Glycoside hydrolase family 38, N-terminal domain|Glycoside hydrolase family 38, N-terminal domain|Glycoside hydrolase family 38, N-terminal domain|Glycoside hydrolase family 38, N-terminal domain|Glycoside hydrolase family 38, N-terminal domain|Glycoside hydrolase family 38, N-terminal domain|Glycoside hydrolase family 38, N-terminal domain|Glycoside hydrolase/deacetylase, beta/alpha-barrel	AT3G26720-Glycosyl hydrolase family 38 protein
MA_88919g0010	basic blue -like	GO:0006118|GO:0009055	obsolete electron transport|electron carrier activity	Biological Process|Molecular Function	IPR003245|IPR008972|noIPR|noIPR|IPR028871|IPR003245|IPR003245|noIPR|IPR008972	Phytocyanin domain|Cupredoxin|Cupredoxin|Cupredoxin|Blue (type 1) copper protein, binding site|Phytocyanin domain|Phytocyanin domain|Phytocyanin domain|Cupredoxin	AT2G02850-plantacyanin
MA_89694g0010	---NA---	NA	NA	NA	NA	NA	NA
MA_91294g0020	peroxidase 47	GO:0004601|GO:0006804|GO:0006979|GO:0020037|GO:0055114	peroxidase activity|obsolete peroxidase reaction|response to oxidative stress|heme binding|oxidation-reduction process	Molecular Function|Biological Process|Biological Process|Molecular Function|Biological Process	IPR000823|IPR002016|IPR002016|noIPR|noIPR|noIPR|IPR019794|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002016|IPR010255|noIPR	Plant peroxidase|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Peroxidase, active site|Peroxidase, active site|Peroxidase, active site|Peroxidase, active site|Peroxidase, active site|Peroxidase, active site|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase|Haem peroxidase	AT4G33420-Peroxidase superfamily protein
MA_916566g0010	pentatricopeptide repeat-containing At4g13650	GO:0005515	protein binding	Molecular Function	IPR002885|noIPR|IPR002885|IPR011990|IPR011990|IPR002885|IPR011990|IPR011990|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR011990|IPR011990|noIPR	Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily|Tetratricopeptide-like helical domain superfamily	AT3G53360-Tetratricopeptide repeat (TPR)-like superfamily protein
MA_922187g0010	unknown	NA	NA	NA	noIPR|noIPR	null|null	NA
MA_93490g0010	probable strigolactone esterase DAD2	GO:0005634|GO:0009536|GO:0010223|GO:0052689|GO:1901601	nucleus|plastid|secondary shoot formation|carboxylic ester hydrolase activity|strigolactone biosynthetic process	Cellular Component|Cellular Component|Biological Process|Molecular Function|Biological Process	IPR029058|IPR000073|noIPR|noIPR|IPR029058	Alpha/Beta hydrolase fold|Alpha/beta hydrolase fold-1|Alpha/beta hydrolase fold-1|Alpha/beta hydrolase fold-1|Alpha/Beta hydrolase fold	AT3G03990-alpha/beta-Hydrolases superfamily protein
MA_9438531g0010	peroxidase 49	GO:0004601|GO:0006804|GO:0006979|GO:0020037|GO:0042744|GO:0055114	peroxidase activity|obsolete peroxidase reaction|response to oxidative stress|heme binding|hydrogen peroxide catabolic process|oxidation-reduction process	Molecular Function|Biological Process|Biological Process|Molecular Function|Biological Process|Biological Process	IPR002016|IPR000823|IPR002016|noIPR|noIPR|noIPR|IPR019794|IPR019793|IPR002016|IPR033905|IPR010255	Haem peroxidase, plant/fungal/bacterial|Plant peroxidase|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Haem peroxidase, plant/fungal/bacterial|Peroxidase, active site|Peroxidases heam-ligand binding site|Haem peroxidase, plant/fungal/bacterial|Secretory peroxidase|Haem peroxidase	AT4G36430-Peroxidase superfamily protein
MA_952002g0010	PCTP	GO:0008289	lipid binding	Molecular Function	IPR023393|IPR002913|noIPR|noIPR|IPR002913|noIPR|noIPR	START-like domain superfamily|START domain|START domain|START domain|START domain|START domain|START domain	AT5G49800-Polyketide cyclase/dehydrase and lipid transport superfamily protein
MA_95507g0010	pentatricopeptide repeat-containing At4g13650	GO:0005515|GO:0008270	protein binding|zinc ion binding	Molecular Function|Molecular Function	IPR011990|IPR002885|IPR002885|IPR011990|IPR002885|noIPR|IPR032867|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885	Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|Tetratricopeptide-like helical domain superfamily|Pentatricopeptide repeat|Pentatricopeptide repeat|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|DYW domain|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat	AT4G13650-Pentatricopeptide repeat (PPR) superfamily protein
